Rank,Major_code,Major,National,Men,Women,Total,Major_category,ShareWomen,Median,Histogram_column,midpoint,
25,SEN,Senegal,32.754326,31.976458,33.607849,65.584307,Africa,0.512437358,32.754326,3,33,
26,NGA,Nigeria,32.529671,33.396034,31.661728,65.057762,Africa,0.486671029,32.529671,4,33,
27,TJK,Tajikistan,32.148266,33.499466,30.713356,64.212822,Asia,0.478305657,32.148266,1,32,
28,BGD,Bangladesh,31.30658,31.089968,31.527466,62.617434,Asia,0.50349342,31.30658,1,31,
29,COM,Comoros,31.18664,36.710022,25.275398,61.98542,Africa,0.4077636,31.18664,2,31,
30,ZWE,Zimbabwe,30.300894,30.484299,30.105606,60.589905,Africa,0.49687495,30.300894,1,30,
31,YEM,Yemen,30.15461,29.736656,30.585262,60.321918,Asia,0.507033977,30.15461,2,30,
32,COD,Democratic Republic of the Congo,30.057127,31.48827,28.62348,60.11175,Africa,0.476171131,30.057127,3,30,
33,AGO,Angola,29.873497,29.767641,29.979521,59.747162,Africa,0.501773139,29.873497,4,30,
34,MHL,Marshall Islands,29.409218,31.163132,27.358994,58.522126,Oceania,0.467498293,29.409218,1,29,
35,LBR,Liberia,29.314226,28.638817,30.054956,58.693773,Africa,0.512063793,29.314226,2,29,
36,MOZ,Mozambique,29.033178,27.993254,30.024752,58.018006,Africa,0.517507479,29.033178,3,29,
37,ZMB,Zambia,26.459435,25.805536,27.095366,52.900902,Africa,0.512191002,26.459435,1,26,
38,MRT,Mauritania,26.139677,27.748199,24.586266,52.334465,Africa,0.469791102,26.139677,2,26,
39,KGZ,Kyrgyzstan,26.137459,26.944851,25.215218,52.160069,Asia,0.483419951,26.137459,3,26,
40,PNG,Papua New Guinea,25.970892,25.028202,27.037981,52.066183,Oceania,0.519300234,25.970892,4,26,
41,CMR,Cameroon,24.75967,24.519114,24.994642,49.513756,Africa,0.504801979,24.75967,1,25,
42,HTI,Haiti,24.191252,25.03598,23.356279,48.392259,Latin America and the Caribbean,0.482644941,24.191252,1,24,
43,AZE,Azerbaijan,23.82148,25.232727,22.107889,47.340616,Asia,0.466996226,23.82148,2,24,
44,COG,Congo,23.739374,23.255539,24.20253,47.458069,Africa,0.509977134,23.739374,3,24,
45,SUR,Suriname,23.443773,24.486858,22.250523,46.737381,Latin America and the Caribbean,0.476075521,23.443773,1,23,
46,ECU,Ecuador,23.080702,22.741655,23.442099,46.183754,Latin America and the Caribbean,0.507583229,23.080702,2,23,
47,ZAF,South Africa,22.792246,24.407568,21.031471,45.439039,Africa,0.46285026,22.792246,3,23,
48,WSM,Samoa,22.646034,18.757175,26.681623,45.438798,Oceania,0.587199138,22.646034,4,23,
49,BDI,Burundi,21.562531,21.347853,21.7736,43.121453,Africa,0.504936603,21.562531,1,22,
50,TCA,Turks and Caicos Islands,21.469391,1.1133965,33.885078,34.9984745,Latin America and the Caribbean,0.968187285,21.469391,1,21,
51,LAO,Lao People's Democratic Republic,21.301615,20.268602,22.469124,42.737726,Asia,0.525744491,21.301615,2,21,
52,KHM,Cambodia,21.191935,21.375151,21.002125,42.377276,Asia,0.49559875,21.191935,3,21,
53,MWI,Malawi,21.050043,21.749662,20.316847,42.066509,Africa,0.482969647,21.050043,4,21,
54,KIR,Kiribati,19.96512,16.472044,23.871559,40.343603,Oceania,0.591706175,19.96512,1,20,
